Date_Forecast;Forecast_LSTM_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_LSTM_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;SquaredError
24/12/2007;0.007892201;0.0172021;0.01649437;0.015029546;0.018550889;0.015530087;0.01562356;0.00804456;0.008632012;0.025434318;0.041467926;0.040262153;0.038328164;0.043173155;0.038792998;0.039215343;5.47E-07
26/12/2007;0.009144278;0.0163184;0.015334344;0.013093644;0.017933407;0.015007181;0.015520231;0.000808309;0.007814504;0.029455132;0.040573783;0.03902632;0.035923571;0.042694168;0.038359757;0.039207545;1.77E-06
27/12/2007;0.01163794;0.014999384;0.013910551;0.011305241;0.015326356;0.012806348;0.014933055;-0.014385263;0.007626482;0.037572088;0.038923223;0.037147633;0.033384428;0.039417807;0.03542057;0.038507404;1.61E-05
28/12/2007;0.005708278;0.01582345;0.016459973;0.015713696;0.017129496;0.014276135;0.013928124;0.001502641;0.010931733;0.018261082;0.039910915;0.040430811;0.039378774;0.041697436;0.037413599;0.037065878;2.73E-05
31/12/2007;0.014057387;0.014555456;0.014945938;0.01356935;0.014761609;0.012315554;0.01395412;-0.006875168;0.011360492;0.045465707;0.038272017;0.038472573;0.036565516;0.038613886;0.034677872;0.037153578;7.27E-06
02/01/2008;0.007785419;0.013915322;0.014608263;0.014704002;0.014468538;0.012163956;0.013297161;-0.014543083;0.012086408;0.02504852;0.037464056;0.038108665;0.038203828;0.038288155;0.034570053;0.036278984;1.85E-05
03/01/2008;0.006933337;0.01483925;0.017006774;0.019160259;0.016192138;0.013619523;0.012659001;0;0.015911066;0.022304429;0.038579122;0.041081644;0.043593246;0.040453599;0.036547871;0.035265796;8.06E-05
04/01/2008;0.011476152;0.013668882;0.015484781;0.016804749;0.01402783;0.011819775;0.012977477;-0.02485797;0.016934566;0.037136982;0.037030818;0.039151985;0.040823026;0.037574481;0.034000865;0.035773345;2.98E-05
07/01/2008;0.007787387;0.018119481;0.025071455;0.027289057;0.019234764;0.015763841;0.012600398;0.003218075;0.013921531;0.025123497;0.042773577;0.050270241;0.052281484;0.044413857;0.039568534;0.035216974;3.76E-05
08/01/2008;0.015215948;0.016765141;0.022655661;0.023223358;0.017054463;0.013989197;0.015348051;-0.018522757;0.014942911;0.049340838;0.041095863;0.047666198;0.048111107;0.04168686;0.037135218;0.038976512;7.45E-08
09/01/2008;0.013215252;0.018561476;0.027200158;0.031164893;0.020141319;0.016391218;0.015976443;0.01353211;0.017163034;0.042822024;0.043276564;0.052457027;0.056035675;0.045525545;0.040371847;0.039763391;1.56E-05
10/01/2008;0.010232348;0.018396616;0.024604918;0.02631763;0.020540763;0.016830171;0.017507782;0.007916712;0.015019185;0.033135445;0.04288926;0.049640218;0.051232566;0.045734502;0.040663966;0.041531763;2.29E-05
11/01/2008;0.012028434;0.017373217;0.022259571;0.022362556;0.019371793;0.015929935;0.018112358;-0.013688651;0.016156437;0.038954614;0.041572808;0.047044503;0.04705536;0.044234483;0.039385429;0.042233167;1.70E-05
14/01/2008;0.009153204;0.017715538;0.023538781;0.026687361;0.020461758;0.016899238;0.017553785;0.010811977;0.016392479;0.029577749;0.041855163;0.048270638;0.051373205;0.045355652;0.040483434;0.041462949;5.24E-05
15/01/2008;0.011240681;0.017225794;0.021517414;0.022757411;0.020133172;0.016888631;0.017680137;-0.025240901;0.011146857;0.036436539;0.041288417;0.046130229;0.047295633;0.04493353;0.040345593;0.041521038;8.80E-09
16/01/2008;0.005049732;0.021483954;0.030142024;0.033632467;0.025039922;0.020844308;0.017230302;-0.005627886;0.018168953;0.016261261;0.045962797;0.054524521;0.057322875;0.050056643;0.044710237;0.040818574;0.000172114
17/01/2008;0.006901802;0.020030266;0.027864144;0.032203618;0.023214319;0.019191496;0.020289788;-0.029524177;0.019589265;0.022351265;0.044305344;0.052305284;0.056042166;0.048088978;0.042819279;0.044354193;0.000160972
18/01/2008;0.02357677;0.025956659;0.039820102;0.047354094;0.02976374;0.024481771;0.020612623;-0.006063769;0.015544804;0.076650635;0.050373581;0.062543654;0.067839964;0.054509598;0.048368659;0.044638478;6.45E-05
22/01/2008;0.022608845;0.024241514;0.036875419;0.044769799;0.02768815;0.022583423;0.025630923;-0.011147057;0.016888948;0.073567118;0.048696001;0.060191707;0.066018296;0.052564942;0.046462257;0.049907443;3.27E-05
23/01/2008;0.008755464;0.023495809;0.035922327;0.046727373;0.027572784;0.022500177;0.025746054;0.02121553;0.014543921;0.028474555;0.047933805;0.05945661;0.067601397;0.052485531;0.04642757;0.050019911;3.35E-05
24/01/2008;0.007748861;0.024934093;0.032912868;0.039772755;0.030133823;0.024673848;0.025174007;0.010012438;0.013102722;0.025211776;0.049165915;0.056671965;0.062132703;0.054669829;0.048418973;0.049259981;2.87E-05
25/01/2008;0.011031686;0.023582778;0.029979425;0.03393851;0.028663155;0.023354264;0.026121145;-0.015999239;0.014322535;0.035857289;0.047725613;0.053969685;0.057328583;0.053195162;0.047016275;0.050153002;1.08E-05
28/01/2008;0.009080887;0.023902651;0.031382237;0.039027367;0.02977871;0.024239362;0.025152822;0.01739613;0.009156868;0.029490958;0.047850257;0.055001601;0.061294316;0.054020865;0.047687037;0.049027056;5.77E-09
29/01/2008;0.014272365;0.024221052;0.028874489;0.033583509;0.030955016;0.025217677;0.025145391;0.006140881;0.011386088;0.046430344;0.048062935;0.052647378;0.056762002;0.054999191;0.04856864;0.048912731;8.33E-06
30/01/2008;0.008846532;0.022607611;0.026474562;0.02894424;0.028385029;0.022887471;0.025258832;-0.004775379;0.019641611;0.028716895;0.046473959;0.050444384;0.052800644;0.052683038;0.046335095;0.049097748;0.000116534
