Date_Forecast;Forecast_T_ANN_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_T_ANN_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;
24/12/2007;0.012309525;0.0172021;0.016494373;0.015029551;0.018550889;0.015530091;0.015623126;0.00804456;0.008632012;0.039815301;0.041467926;0.040262161;0.038328183;0.043173155;0.038793011;0.039214954;1.35241E-05
26/12/2007;0.01051979;0.0163184;0.015334333;0.013093648;0.017933402;0.015007174;0.015520125;0.000808309;0.007814504;0.033933231;0.040573783;0.039026293;0.035923589;0.042694158;0.038359729;0.039208031;7.31857E-06
27/12/2007;0.01242791;0.014999383;0.013910556;0.011305235;0.015326378;0.012806348;0.014933053;-0.014385263;0.007626482;0.040143905;0.038923232;0.037147644;0.033384407;0.039417857;0.03542057;0.038507394;2.30537E-05
28/12/2007;0.009748423;0.01582345;0.016459956;0.015713693;0.017129495;0.014276126;0.013928128;0.001502641;0.010931733;0.031414127;0.039910912;0.040430774;0.039378761;0.041697435;0.037413565;0.037065884;1.40022E-06
31/12/2007;0.010883308;0.014555456;0.014945953;0.013569359;0.01476163;0.012315538;0.01395412;-0.006875168;0.011360492;0.035132219;0.038272022;0.038472606;0.036565542;0.038613934;0.034677807;0.037153578;2.27704E-07
02/01/2008;0.010520044;0.013915322;0.014608288;0.014704002;0.014468538;0.012163952;0.013297164;-0.014543083;0.012086408;0.033951328;0.037464056;0.038108722;0.038203828;0.038288155;0.034570037;0.036278991;2.4535E-06
03/01/2008;0.010372566;0.01483925;0.017006802;0.019160264;0.016192212;0.013619523;0.012659001;0;0.015911066;0.033501138;0.038579123;0.041081705;0.043593257;0.04045376;0.036547871;0.035265796;3.0675E-05
04/01/2008;0.016848506;0.013668882;0.015484801;0.016804746;0.0140278;0.011819769;0.012977096;-0.02485797;0.016934566;0.054627149;0.03703082;0.039152032;0.040823011;0.037574412;0.034000869;0.035772484;7.40621E-09
07/01/2008;0.009332333;0.018119481;0.025071455;0.027289048;0.019234782;0.015763841;0.012600398;0.003218075;0.013921531;0.030153203;0.042773577;0.050270241;0.052281463;0.04441389;0.039568536;0.035216974;2.10607E-05
08/01/2008;0.013361614;0.016765141;0.022655671;0.023223358;0.017054463;0.013989197;0.015348051;-0.018522757;0.014942911;0.043303893;0.041095863;0.047666215;0.048111107;0.04168686;0.037135218;0.038976512;2.5005E-06
09/01/2008;0.013723907;0.018561477;0.027200121;0.031164905;0.020141405;0.016391218;0.015976444;0.01353211;0.017163034;0.044477994;0.043276569;0.052456967;0.0560357;0.045525684;0.040371847;0.039763395;1.18276E-05
10/01/2008;0.017512765;0.018396616;0.024604934;0.02631763;0.0205408;0.016830171;0.01750778;0.007916712;0.015019185;0.056837473;0.04288926;0.049640247;0.051232566;0.045734568;0.040663966;0.041531756;6.21794E-06
11/01/2008;0.015157127;0.017373211;0.022259571;0.022362533;0.019371793;0.01592992;0.018112358;-0.013688651;0.016156437;0.049140344;0.04157283;0.047044503;0.04705529;0.044234483;0.039385375;0.042233167;9.9862E-07
14/01/2008;0.011316698;0.017715543;0.023538779;0.026687358;0.020461764;0.016899232;0.017553781;0.010811977;0.016392479;0.036621192;0.0418552;0.048270635;0.051373198;0.045355662;0.040483413;0.041462938;2.57636E-05
15/01/2008;0.014485618;0.017225792;0.021517432;0.022757411;0.020133176;0.016888631;0.017680138;-0.025240901;0.011146857;0.047000715;0.041288406;0.046130261;0.047295633;0.044933536;0.040345593;0.041521042;1.11473E-05
16/01/2008;0.011337915;0.021483951;0.030142017;0.03363246;0.025039934;0.020844323;0.017230302;-0.005627886;0.018168953;0.036732985;0.045962789;0.054524506;0.057322853;0.050056666;0.044710283;0.040818574;4.66631E-05
17/01/2008;0.016001953;0.020030268;0.027866219;0.032203581;0.023214304;0.019191508;0.020289788;-0.029524177;0.019589265;0.051977597;0.044305348;0.052309284;0.056042082;0.048088951;0.042819318;0.044354193;1.28688E-05
18/01/2008;0.018040968;0.025956659;0.039820073;0.047354094;0.029763752;0.024481771;0.020612623;-0.006063769;0.015544804;0.058628352;0.050373581;0.062543609;0.067839964;0.054509619;0.048368659;0.044638478;6.23084E-06
22/01/2008;0.012063595;0.024241517;0.036875419;0.044769785;0.027688166;0.022583423;0.025630776;-0.011147057;0.016888948;0.039236145;0.048696013;0.060191707;0.066018264;0.052564967;0.046462257;0.049906433;2.3284E-05
23/01/2008;0.010809614;0.023495815;0.035922305;0.046727404;0.027572815;0.022500178;0.025745455;0.02121553;0.014543921;0.035162019;0.047933829;0.059456576;0.067601457;0.05248558;0.046427567;0.050018437;1.3945E-05
24/01/2008;0.012865588;0.024934089;0.032912908;0.03977272;0.030133853;0.024673851;0.02517399;0.010012438;0.013102722;0.041869725;0.049165899;0.056672034;0.062132632;0.054669875;0.048418983;0.049259979;5.62326E-08
25/01/2008;0.015242064;0.023582786;0.029979414;0.03393852;0.028663099;0.023354266;0.026121148;-0.015999239;0.014322535;0.04956454;0.047725646;0.053969667;0.057328612;0.053195068;0.047016282;0.050153008;8.45535E-07
28/01/2008;0.012134279;0.023902656;0.031382301;0.039027387;0.029778581;0.024239363;0.025152822;0.01739613;0.009156868;0.039431542;0.047850274;0.055001711;0.06129436;0.054020656;0.04768704;0.049027056;8.86498E-06
29/01/2008;0.015660165;0.024221052;0.028874559;0.033583502;0.030954914;0.025217748;0.025145383;0.006140881;0.011386088;0.050948447;0.048062935;0.052647505;0.056761981;0.05499902;0.048568783;0.048912699;1.82677E-05
30/01/2008;0.014953848;0.022607611;0.026474563;0.028944255;0.028384708;0.022887482;0.025258827;-0.004775379;0.019641611;0.048599793;0.046473963;0.050444385;0.052800697;0.052682632;0.046335128;0.049097709;2.19751E-05
31/01/2008;0.018105743;0.021175184;0.02464563;0.02785239;0.026114277;0.020920266;0.023768552;0.016633153;0.019719222;0.058861028;0.044988062;0.048644894;0.051870841;0.050504348;0.044307869;0.047652848;2.60331E-06
01/02/2008;0.011086783;0.0214767;0.022636909;0.023997461;0.027053742;0.021781381;0.021930588;0.012163219;0.017664531;0.036012231;0.04513931;0.046419518;0.047924313;0.051217827;0.045010555;0.045591165;4.32668E-05
04/02/2008;0.018386032;0.020904212;0.020982045;0.020805031;0.026870673;0.021616519;0.021557339;-0.01051799;0.014691875;0.059744791;0.044593425;0.044780269;0.044723503;0.051166133;0.045015362;0.045245218;1.36468E-05
05/02/2008;0.014738568;0.020329214;0.020907806;0.023152548;0.026259344;0.021185966;0.020764967;-0.032518473;0.016139736;0.047865769;0.043852361;0.044536015;0.047051931;0.050398233;0.044359415;0.044307513;1.96327E-06
06/02/2008;0.014161158;0.027040966;0.034825208;0.037668614;0.033560382;0.026909619;0.020011258;-0.007652849;0.007216909;0.046008081;0.050515806;0.057600749;0.05988346;0.056980246;0.049864671;0.043331125;4.82226E-05
07/02/2008;0.010506611;0.02558948;0.032747118;0.037278275;0.031464371;0.025125271;0.025820521;0.007854843;0.006436454;0.034185456;0.049101537;0.055747673;0.059527981;0.055069129;0.048082252;0.049317198;1.65662E-05
08/02/2008;0.010821194;0.024157695;0.030425923;0.032362429;0.029677854;0.023438475;0.026337211;-0.00421258;0.01065323;0.035223132;0.047823972;0.053878057;0.055554534;0.053639741;0.046595014;0.049948947;2.82121E-08
11/02/2008;0.006802936;0.022667358;0.02865772;0.030830459;0.027455463;0.021428279;0.025242168;0.005871727;0.010171587;0.022094001;0.046480221;0.052500074;0.054492022;0.051787009;0.044760501;0.049044242;1.13478E-05
12/02/2008;0.010489888;0.021219841;0.026013172;0.026627287;0.024748587;0.019448994;0.023462814;0.007239627;0.010109075;0.034086611;0.044902698;0.049796219;0.050469283;0.048968434;0.042451676;0.047251714;1.45018E-07
13/02/2008;0.011833639;0.020030195;0.024261065;0.023124226;0.023285732;0.018171856;0.021546518;0.013512358;0.010272105;0.038443591;0.043648466;0.048103877;0.046977964;0.047521069;0.041049299;0.045299937;2.43839E-06
14/02/2008;0.010328387;0.019789932;0.022469795;0.020121683;0.023668356;0.018552235;0.019741624;-0.013512358;0.009413316;0.03348768;0.043370646;0.046267817;0.043788566;0.047930042;0.041490444;0.043311875;8.37355E-07
15/02/2008;0.009108807;0.019894332;0.023390295;0.023910222;0.024340863;0.019259229;0.018905003;0.000837397;0.008629357;0.02947093;0.043378459;0.047093308;0.047646185;0.048489951;0.042153315;0.042264039;2.29872E-07
19/02/2008;0.015719164;0.018468548;0.021422824;0.020785424;0.020997122;0.016460882;0.018668665;-0.000896676;0.010439808;0.051031889;0.041850879;0.045052915;0.044440839;0.045007457;0.03896541;0.042086616;2.78716E-05
20/02/2008;0.01083643;0.017137654;0.019615998;0.018764657;0.01842943;0.014452584;0.017248019;0.008306278;0.010254266;0.035124832;0.040374103;0.043099259;0.042256887;0.042144958;0.036516388;0.040511074;3.38915E-07
21/02/2008;0.011120643;0.016258213;0.017852554;0.016174723;0.017360329;0.013873038;0.015631472;-0.012950865;0.010287424;0.03604219;0.039279978;0.040999522;0.039122112;0.040803191;0.035683334;0.038502362;6.94254E-07
22/02/2008;0.011237268;0.016569437;0.019084576;0.019693862;0.01855469;0.014861705;0.014549226;0.007849721;0.008802891;0.036406486;0.039654776;0.042490279;0.043291381;0.042242073;0.036975326;0.037097099;5.92619E-06
25/02/2008;0.010821082;0.015688493;0.017419695;0.017011376;0.017489931;0.014185595;0.014472362;0.013718146;0.015932238;0.035107062;0.038585595;0.040550821;0.040233617;0.040954753;0.036092219;0.037013395;2.61239E-05
26/02/2008;0.012551413;0.015893727;0.016454869;0.015057378;0.018551573;0.014937847;0.013854547;0.006894092;0.013269516;0.040735393;0.038778526;0.039361177;0.037720269;0.042216973;0.037035464;0.036141687;5.15672E-07
27/02/2008;0.014004054;0.014991314;0.015041211;0.013005507;0.017416068;0.014094184;0.013825918;-0.000919867;0.01143885;0.045396642;0.037709699;0.037662571;0.035111663;0.040926039;0.0360284;0.036158511;6.58027E-06
28/02/2008;0.012118817;0.013895389;0.013752061;0.011710771;0.01559834;0.012493365;0.013117583;-0.008982093;0.012661982;0.039261801;0.036440053;0.036169972;0.033505854;0.038865896;0.034093855;0.03534072;2.95028E-07
29/02/2008;0.012290034;0.013597313;0.01383124;0.013633452;0.015429907;0.012607499;0.012117537;-0.027463395;0.01448741;0.039849286;0.035957364;0.036146312;0.036068215;0.03851129;0.03409465;0.033866895;4.82846E-06
03/03/2008;0.011586206;0.018713225;0.024585205;0.02413388;0.021275352;0.016959508;0.011989105;0.00053341;0.010547713;0.037582931;0.042191455;0.048490108;0.047902974;0.045471831;0.039674826;0.033623588;1.07847E-06
04/03/2008;0.010765239;0.017418392;0.022425815;0.020828532;0.018453171;0.014581612;0.016379276;-0.003453585;0.010636505;0.034931948;0.040718541;0.046241398;0.044476224;0.042275125;0.036717878;0.039496807;1.65724E-08
05/03/2008;0.010998939;0.016345033;0.020864075;0.01986535;0.016953942;0.013412471;0.016627851;0.005224655;0.023247996;0.035691825;0.039475533;0.044609495;0.043484146;0.040513697;0.035222471;0.039848825;0.000150039
06/03/2008;0.015189897;0.015343167;0.019211803;0.017266417;0.015664173;0.012428302;0.015946757;-0.022259859;0.023180123;0.049341138;0.038309502;0.042831069;0.040574554;0.038973023;0.033954682;0.039085855;6.38437E-05
07/03/2008;0.014065161;0.018145082;0.024856963;0.025355878;0.019233299;0.015370361;0.014863205;-0.008445928;0.020836666;0.045653582;0.041561722;0.04864894;0.049075712;0.043180375;0.037686797;0.037566401;4.58533E-05
10/03/2008;0.016160863;0.017508298;0.023932066;0.026390646;0.018827864;0.015158968;0.017230766;-0.015584286;0.023008748;0.052530373;0.040822566;0.047696688;0.050053311;0.042686711;0.037397326;0.040503617;4.68935E-05
11/03/2008;0.021170905;0.018249685;0.025710371;0.031270684;0.020691727;0.016573512;0.017394754;0.036457133;0.022123082;0.068850042;0.041658679;0.049440364;0.054462505;0.044834927;0.039142834;0.040668861;9.06641E-07
12/03/2008;0.009649256;0.026091362;0.024429052;0.027296792;0.028974569;0.022786528;0.018342754;-0.009036278;0.024204575;0.031348643;0.050020098;0.04829509;0.050857612;0.053541124;0.046243565;0.041824203;0.000211857
13/03/2008;0.022700116;0.025013377;0.023774142;0.028609821;0.027979087;0.021960526;0.026089825;0.005113823;0.026764203;0.073728102;0.048963016;0.047608251;0.052074776;0.052544176;0.045347946;0.05004236;1.65168E-05
14/03/2008;0.019191546;0.023135302;0.022042205;0.024781443;0.025756598;0.019981399;0.026921569;-0.021002274;0.029108164;0.062338097;0.046923263;0.045912467;0.048459238;0.050236942;0.043136506;0.050707695;9.83393E-05
17/03/2008;0.024102125;0.024987781;0.026975057;0.032937256;0.029018382;0.022647135;0.026325288;-0.008999054;0.026284024;0.078352539;0.048784481;0.050834857;0.055858558;0.053441663;0.045985548;0.050114135;4.76068E-06
18/03/2008;0.020983931;0.023985355;0.026023934;0.033655029;0.028009748;0.021755192;0.027356706;0.041534896;0.024751552;0.068228088;0.047737109;0.049819045;0.056369196;0.052404366;0.044956611;0.051069779;1.4195E-05
19/03/2008;0.01964091;0.03443769;0.024963381;0.029418314;0.038510098;0.030290208;0.026894795;-0.024586997;0.019146405;0.06387634;0.057454492;0.049107781;0.052804584;0.061913602;0.053423604;0.050664987;2.44534E-07
20/03/2008;0.020219021;0.037253402;0.03244594;0.040325526;0.042995603;0.034149325;0.036353562;0.023662286;0.015165242;0.065685568;0.059713914;0.056021191;0.06179656;0.065418938;0.056716948;0.05892517;2.55407E-05
24/03/2008;0.014691308;0.038910525;0.03001993;0.034563151;0.04618537;0.03671365;0.042242571;0.015205243;0.011036666;0.047733791;0.060870325;0.053667351;0.056925474;0.067594499;0.058582246;0.063443458;1.33564E-05
25/03/2008;0.011465603;0.037667034;0.027616581;0.029687046;0.045516779;0.03572868;0.04454139;0.002301248;0.007563106;0.037176058;0.059844333;0.051382267;0.052683994;0.06700799;0.057704047;0.065130026;1.52295E-05
26/03/2008;0.007592776;0.034613654;0.025418483;0.02564644;0.040502693;0.030427896;0.043345604;-0.008804405;0.01948168;0.024544058;0.057527019;0.049388281;0.04909064;0.063431889;0.053426451;0.064450586;0.000141346
27/03/2008;0.018638134;0.032790089;0.024629472;0.026923401;0.038498363;0.028649391;0.039818961;-0.011526659;0.018709973;0.060477029;0.056003983;0.04860203;0.050338311;0.061796752;0.051819806;0.061785948;5.1608E-09
28/03/2008;0.018633975;0.031084942;0.024902451;0.02963885;0.037771566;0.02805353;0.036268397;-0.007981958;0.016853414;0.060496159;0.054172602;0.048808579;0.052685834;0.060816347;0.051032981;0.058593937;3.1704E-06
31/03/2008;0.015069067;0.029474142;0.02389493;0.030181624;0.035866408;0.026282298;0.033505742;0.005671135;0.015363765;0.048965494;0.052743361;0.04775364;0.053133894;0.05921949;0.04933796;0.056325846;8.68464E-08
01/04/2008;0.01493752;0.027575137;0.022015308;0.026050487;0.033222051;0.023718725;0.030504261;0.035267092;0.015641716;0.04855069;0.051136264;0.045974203;0.04955193;0.057120018;0.046993944;0.053846937;4.95893E-07
02/04/2008;0.014673028;0.034202695;0.021088304;0.022615949;0.041330885;0.030212089;0.027731015;-0.001935943;0.002843856;0.047694563;0.056995883;0.045156326;0.046092345;0.063965405;0.0532074;0.051216802;0.000139929
03/04/2008;0.004634742;0.031848222;0.019277346;0.020663896;0.037205594;0.026385459;0.032320224;0.001300792;0.004431678;0.014916701;0.055009853;0.043121163;0.044072326;0.060611283;0.049632581;0.055427349;4.12348E-08
04/04/2008;0.005696514;0.029602382;0.017747541;0.017949937;0.033369466;0.02269975;0.031808348;0.00079568;0.005170033;0.018383522;0.053187413;0.041476015;0.041201654;0.057578044;0.046189102;0.05513423;2.77182E-07
07/04/2008;0.004945493;0.027520569;0.015941719;0.01533248;0.028726053;0.01927887;0.029481545;0.00156038;0.009794122;0.015920035;0.051305762;0.03924054;0.038051898;0.053314494;0.042454718;0.053125947;2.35092E-05
08/04/2008;0.010117442;0.025508046;0.014238557;0.01297496;0.024710216;0.016481702;0.026441003;-0.005113083;0.009121591;0.032759303;0.049463133;0.037073483;0.035045803;0.049392484;0.039221483;0.050377634;9.9172E-07
09/04/2008;0.010608363;0.024003676;0.013843139;0.013592794;0.023791056;0.015608365;0.023323399;-0.008124991;0.010440294;0.03436314;0.048080555;0.036605879;0.035935205;0.048625855;0.038288767;0.047373811;2.82472E-08
10/04/2008;0.010170886;0.022874708;0.013890728;0.015241117;0.022963895;0.015327124;0.020741928;0.004464073;0.015559174;0.032950966;0.046933951;0.036639056;0.038065795;0.04773736;0.037921098;0.044634057;2.90336E-05
11/04/2008;0.01160547;0.021536298;0.013039799;0.013260404;0.021833643;0.013971966;0.01880426;-0.020584597;0.015471024;0.037614978;0.045599985;0.035491816;0.035519071;0.046672101;0.036287263;0.0425572;1.49425E-05
14/04/2008;0.011921733;0.023401993;0.019184616;0.020732139;0.025786177;0.01702833;0.01739617;-0.003389523;0.011211077;0.038604607;0.047446661;0.04315591;0.04445877;0.050796128;0.040074439;0.040786316;5.05032E-07
15/04/2008;0.011552081;0.021803691;0.017792253;0.019726706;0.02296728;0.015503117;0.018586939;0.004589329;0.010747208;0.037436971;0.045827038;0.041501169;0.043296583;0.04784132;0.038164782;0.042264312;6.47822E-07
16/04/2008;0.011720395;0.020122915;0.016199426;0.016992398;0.020016852;0.013886132;0.017806438;0.022437649;0.013416796;0.037989508;0.044050788;0.039542128;0.040097329;0.044549149;0.036028325;0.041402625;2.87778E-06
17/04/2008;0.008334371;0.022675392;0.015336916;0.014799447;0.025749558;0.016943304;0.016891748;0.000622721;0.009849507;0.026959916;0.046264082;0.038403669;0.037208396;0.050305296;0.039575687;0.039933761;2.29564E-06
18/04/2008;0.008092911;0.021398134;0.014236111;0.01301744;0.023796781;0.015082039;0.01823093;0.017976454;0.009955515;0.026164568;0.045064961;0.037033447;0.03492921;0.048516675;0.037428368;0.041641793;3.46929E-06
