Date_Forecast;Forecast_ANN_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_ANN_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;SquaredError
24/12/2007;0.011621749;0.0172021;0.01649437;0.015029549;0.018550889;0.015530087;0.01562356;0.00804456;0.008632012;0.037576186;0.041467926;0.040262153;0.038328188;0.043173155;0.038792998;0.039215343;8.94E-06
26/12/2007;0.009975683;0.0163184;0.015334344;0.013093645;0.017933407;0.015007181;0.015520231;0.000808309;0.007814504;0.032161842;0.040573783;0.03902632;0.035923576;0.042694168;0.038359757;0.039207545;4.67E-06
27/12/2007;0.010495527;0.014999384;0.013910551;0.011305235;0.015326356;0.012806348;0.014933055;-0.014385263;0.007626482;0.033852863;0.038923223;0.037147633;0.033384407;0.039417807;0.03542057;0.038507404;8.23E-06
28/12/2007;0.014782158;0.01582345;0.016459973;0.015713696;0.017129496;0.014276135;0.013928124;0.001502641;0.010931733;0.047801885;0.039910915;0.040430811;0.039378774;0.041697436;0.037413599;0.037065878;1.48E-05
31/12/2007;0.013120412;0.014555456;0.014945938;0.013569359;0.014761609;0.012315554;0.01395412;-0.006875168;0.011360492;0.042415304;0.038272017;0.038472573;0.036565542;0.038613886;0.034677872;0.037153578;3.10E-06
02/01/2008;0.013547823;0.013915322;0.014608288;0.014704004;0.014468538;0.012163956;0.013297161;-0.014543083;0.012086408;0.043808525;0.037464056;0.038108722;0.038203833;0.038288155;0.034570053;0.036278984;2.14E-06
03/01/2008;0.011787787;0.01483925;0.017006774;0.019160264;0.016192138;0.013619523;0.012659001;0;0.015911066;0.038108513;0.038579122;0.041081644;0.043593257;0.040453599;0.036547871;0.035265796;1.70E-05
04/01/2008;0.015056137;0.013668882;0.015484781;0.016804744;0.01402783;0.011819775;0.012977477;-0.02485797;0.016934566;0.048791934;0.037030818;0.039151985;0.040823005;0.037574481;0.034000865;0.035773345;3.53E-06
07/01/2008;0.018214136;0.018119481;0.025071455;0.027289041;0.019234782;0.015763841;0.012600398;0.003218075;0.013921531;0.059068684;0.042773577;0.050270241;0.052281449;0.04441389;0.039568534;0.035216974;1.84E-05
08/01/2008;0.016540777;0.016765141;0.022655677;0.023223358;0.017054463;0.013989197;0.015348051;-0.018522757;0.014942911;0.053653933;0.041095863;0.047666226;0.048111107;0.04168686;0.037135218;0.038976512;2.55E-06
09/01/2008;0.009639195;0.018561476;0.027200158;0.031164881;0.020141317;0.016391218;0.015976443;0.01353211;0.017163034;0.031179861;0.043276564;0.052457027;0.056035648;0.045525543;0.040371847;0.039763391;5.66E-05
10/01/2008;0.015916195;0.018396616;0.024604918;0.02631763;0.020540777;0.016830171;0.017507782;0.007916712;0.015019185;0.051639701;0.04288926;0.049640218;0.051232566;0.045734527;0.040663966;0.041531763;8.05E-07
11/01/2008;0.013632891;0.017373217;0.022259571;0.022362533;0.019371793;0.015929935;0.018112358;-0.013688651;0.016156437;0.044178061;0.041572808;0.047044503;0.04705529;0.044234483;0.039385429;0.042233167;6.37E-06
14/01/2008;0.012191721;0.017715538;0.023538781;0.026687371;0.020461786;0.016899238;0.017553785;0.010811977;0.016392479;0.039469906;0.041855163;0.048270638;0.051373231;0.045355704;0.040483434;0.041462949;1.76E-05
15/01/2008;0.010840444;0.017225794;0.021517414;0.022757411;0.020133176;0.016888631;0.017680137;-0.025240901;0.011146857;0.035133534;0.041288417;0.046130228;0.047295633;0.044933536;0.040345593;0.041521038;9.39E-08
16/01/2008;0.015457752;0.021483954;0.030142024;0.033632467;0.025039934;0.020844308;0.017230302;-0.005627886;0.018168953;0.050145474;0.045962797;0.054524521;0.057322875;0.050056666;0.044710237;0.040818574;7.35E-06
17/01/2008;0.013892211;0.020030266;0.027866219;0.032203618;0.023214304;0.019191496;0.020289788;-0.029524177;0.019589265;0.04510915;0.044305344;0.052309284;0.056042166;0.048088951;0.042819279;0.044354193;3.25E-05
18/01/2008;0.009611105;0.025956659;0.039820102;0.047354094;0.029763752;0.024481771;0.020612623;-0.006063769;0.015544804;0.031184201;0.050373581;0.062543654;0.067839964;0.054509619;0.048368659;0.044638478;3.52E-05
22/01/2008;0.014463267;0.024241514;0.036875419;0.044769799;0.027688166;0.022583423;0.025630923;-0.011147057;0.016888948;0.047048485;0.048696001;0.060191707;0.066018296;0.052564967;0.046462257;0.049907443;5.88E-06
23/01/2008;0.016733527;0.023495809;0.035922327;0.046727398;0.027572837;0.022500177;0.025746054;0.02121553;0.014543921;0.054447831;0.047933805;0.05945661;0.067601443;0.052485619;0.04642757;0.050019911;4.79E-06
24/01/2008;0.010021217;0.024934093;0.032912868;0.039772763;0.030133852;0.024673848;0.025174007;0.010012438;0.013102722;0.032609629;0.049165915;0.056671965;0.062132716;0.054669876;0.048418973;0.049259981;9.50E-06
25/01/2008;0.010349566;0.023582778;0.029979425;0.03393851;0.028663129;0.023354264;0.026121145;-0.015999239;0.014322535;0.033636588;0.047725613;0.053969685;0.057328583;0.053195117;0.047016275;0.050153002;1.58E-05
28/01/2008;0.011794854;0.023902651;0.031382237;0.039027371;0.029778718;0.024239362;0.025152822;0.01739613;0.009156868;0.038326514;0.047850257;0.055001601;0.061294327;0.054020878;0.047687037;0.049027056;6.96E-06
29/01/2008;0.011852149;0.024221052;0.028874489;0.033583515;0.030954914;0.025217677;0.025145391;0.006140881;0.011386088;0.038551121;0.048062935;0.052647378;0.056762017;0.05499902;0.04856864;0.048912731;2.17E-07
30/01/2008;0.010911947;0.022607611;0.026474562;0.02894424;0.028384956;0.022887471;0.025258827;-0.004775379;0.019641611;0.035441034;0.046473959;0.050444384;0.052800644;0.052682911;0.046335095;0.049097712;7.62E-05
31/01/2008;0.011979697;0.021175191;0.02464563;0.02785239;0.026114284;0.020920272;0.023768554;0.016633153;0.019719222;0.038917153;0.044988099;0.048644894;0.051870841;0.050504362;0.044307889;0.047652864;5.99E-05
01/02/2008;0.012123007;0.021476693;0.022636912;0.023997464;0.027053785;0.021781306;0.021930585;0.012163219;0.017664531;0.039385748;0.04513926;0.046419522;0.047924329;0.051217904;0.045010466;0.045591134;3.07E-05
04/02/2008;0.01349858;0.020904208;0.020982064;0.020805033;0.026870582;0.02161651;0.021557347;-0.01051799;0.014691875;0.043833266;0.044593393;0.044780305;0.04472352;0.051166189;0.045015329;0.045244998;1.42E-06
05/02/2008;0.015702514;0.020329218;0.020907779;0.023152548;0.026259348;0.021185964;0.020764969;-0.032518473;0.016139736;0.051003979;0.043852398;0.04453595;0.047051923;0.050398239;0.044359406;0.044307521;1.91E-07
06/02/2008;0.012799114;0.027040966;0.034825211;0.03766865;0.033560309;0.026911085;0.020011297;-0.007652849;0.007216909;0.041573827;0.050515806;0.057600754;0.059883546;0.056980152;0.049867058;0.043330268;3.12E-05
07/02/2008;0.010872668;0.02558948;0.032747118;0.037278275;0.031464371;0.025125271;0.025820521;0.007854843;0.006436454;0.035377184;0.049101537;0.055747673;0.059527981;0.055069129;0.048082252;0.049317198;1.97E-05
08/02/2008;0.012109703;0.024157695;0.030425931;0.032362429;0.029677854;0.023438472;0.026337211;-0.00421258;0.01065323;0.039417985;0.047823972;0.053878069;0.055554534;0.053639741;0.04659501;0.049948947;2.12E-06
11/02/2008;0.016494354;0.022667353;0.028657693;0.030830459;0.027455463;0.021428285;0.025242169;0.005871727;0.010171587;0.053645254;0.046480211;0.052500027;0.054492022;0.051787009;0.044760521;0.049044251;4.00E-05
12/02/2008;0.011117483;0.02121984;0.026013175;0.026627287;0.024748625;0.019448994;0.023462814;0.007239627;0.010109075;0.0361298;0.044902684;0.049796223;0.050469283;0.048968503;0.042451676;0.047251714;1.02E-06
13/02/2008;0.01180127;0.020030194;0.024261037;0.023124227;0.023285732;0.018171854;0.021546518;0.013512358;0.010272105;0.038338211;0.043648456;0.048103821;0.046977968;0.047521069;0.04104929;0.045299937;2.34E-06
14/02/2008;0.01130639;0.019789932;0.022469795;0.020121683;0.023668356;0.018552235;0.019741624;-0.013512358;0.009413316;0.036671654;0.043370646;0.046267817;0.043788566;0.047930042;0.041490444;0.043311875;3.58E-06
15/02/2008;0.010630627;0.019894332;0.023390295;0.023910222;0.024340863;0.019259229;0.018905003;0.000837397;0.008629357;0.034425347;0.043378459;0.047093308;0.047646185;0.048489951;0.042153315;0.042264039;4.01E-06
19/02/2008;0.012420029;0.018468549;0.021422824;0.020785424;0.020997122;0.016460879;0.018668665;-0.000896676;0.010439808;0.040291269;0.041850895;0.045052915;0.044440839;0.045007457;0.038965397;0.042086637;3.92E-06
20/02/2008;0.012318713;0.017137654;0.019616006;0.018764657;0.01842943;0.014452584;0.017248018;0.008306278;0.010254266;0.039950532;0.040374103;0.043099276;0.042256887;0.042144958;0.036516388;0.040511085;4.26E-06
21/02/2008;0.01089527;0.016258214;0.017852571;0.016174722;0.017360337;0.013873046;0.015631471;-0.012950865;0.010287424;0.035308467;0.039279991;0.040999562;0.039122114;0.040803208;0.035683376;0.038502347;3.69E-07
22/02/2008;0.011930346;0.016569435;0.019084556;0.019693865;0.018552743;0.014861712;0.014549227;0.007849721;0.008802891;0.038662862;0.039654753;0.042490233;0.043291393;0.042240522;0.036975347;0.037097094;9.78E-06
25/02/2008;0.011363455;0.015688495;0.017419691;0.017011421;0.017490042;0.01418559;0.014472361;0.013718146;0.015932238;0.036872805;0.038585602;0.04055081;0.040233595;0.040954955;0.036092194;0.037013389;2.09E-05
26/02/2008;0.010288689;0.015893727;0.016454882;0.015057375;0.018551589;0.01493785;0.013854547;0.006894092;0.013269516;0.0333689;0.03877852;0.039361206;0.037720243;0.042216997;0.037035478;0.036141702;8.89E-06
27/02/2008;0.013855742;0.014991319;0.015041194;0.013005505;0.01741607;0.014094175;0.013825913;-0.000919867;0.01143885;0.044913799;0.037709672;0.037662528;0.035111644;0.040926041;0.036028352;0.036158518;5.84E-06
28/02/2008;0.011611237;0.01389539;0.013752041;0.011710777;0.015598315;0.01249337;0.013117584;-0.008982093;0.012661982;0.03760933;0.036440049;0.036169923;0.033505889;0.038865333;0.034093877;0.035340726;1.10E-06
29/02/2008;0.012251011;0.013597316;0.013831212;0.013633443;0.015429907;0.012607501;0.012117542;-0.027463395;0.01448741;0.039722245;0.035957363;0.036146247;0.036068172;0.03851129;0.034094658;0.033866889;5.00E-06
03/03/2008;0.00870865;0.018713225;0.024585205;0.024133873;0.021275374;0.016959514;0.011989105;0.00053341;0.010547713;0.028214799;0.042191453;0.048490108;0.047902946;0.045471874;0.039674845;0.033623588;3.38E-06
04/03/2008;0.011848363;0.017418392;0.022425815;0.020828533;0.018453187;0.014581619;0.01637927;-0.003453585;0.010636505;0.038458153;0.040718541;0.046241398;0.044476231;0.042275159;0.036717909;0.039496781;1.47E-06
05/03/2008;0.014437637;0.016345033;0.02086407;0.019865362;0.016953942;0.013412471;0.016627851;0.005224655;0.023247996;0.046886805;0.039475533;0.044609484;0.043484187;0.040513697;0.035222471;0.039848825;7.76E-05
06/03/2008;0.013012367;0.015343168;0.019211796;0.017266416;0.015664169;0.012428303;0.015946759;-0.022259859;0.023180123;0.042252;0.038309514;0.042831051;0.040574552;0.038973014;0.033954693;0.039085865;0.000103383
07/03/2008;0.008844963;0.018145083;0.024856939;0.025355885;0.019233308;0.015370378;0.014863204;-0.008445928;0.020836666;0.028658774;0.041561726;0.048648892;0.049075732;0.043180401;0.037686859;0.037566401;0.000143801
10/03/2008;0.011939996;0.017508298;0.023932066;0.026390646;0.018827864;0.015158968;0.017230766;-0.015584286;0.023008748;0.038788976;0.040822564;0.047696688;0.050053311;0.042686711;0.037397326;0.040503617;0.000122517
11/03/2008;0.010376649;0.018249686;0.025710337;0.031270684;0.020691641;0.016573499;0.017394756;0.036457133;0.022123082;0.033708406;0.041658681;0.0494403;0.054462505;0.044834837;0.039142771;0.040668864;0.000137979
12/03/2008;0.011940057;0.026091379;0.024429042;0.027296776;0.028974569;0.022786512;0.01834275;-0.009036278;0.024204575;0.038806545;0.05002012;0.048295077;0.050857569;0.053541124;0.046243524;0.041824188;0.000150418
13/03/2008;0.013349495;0.025013377;0.023774142;0.028609812;0.027979087;0.021960511;0.026089828;0.005113823;0.026764203;0.043286344;0.048963016;0.047608251;0.052074751;0.052544176;0.045347899;0.050042371;0.000179954
14/03/2008;0.012832022;0.023135301;0.022042194;0.024781458;0.025756503;0.019981409;0.026921579;-0.021002274;0.029108164;0.041634115;0.046923257;0.045912443;0.048459285;0.050236772;0.043136535;0.050707709;0.000264913
17/03/2008;0.011555279;0.024987781;0.026975057;0.032937236;0.029018382;0.022647135;0.026325288;-0.008999054;0.026284024;0.037505192;0.048784481;0.050834857;0.055858514;0.053441663;0.045985548;0.050114135;0.000216936
18/03/2008;0.01470322;0.023985355;0.026023916;0.033655023;0.028008524;0.021755182;0.027356706;0.041534896;0.024751552;0.047780689;0.047737109;0.049819012;0.05636918;0.05240289;0.04495659;0.051069779;0.000100969
19/03/2008;0.012051918;0.034437706;0.024963369;0.029418314;0.038510116;0.030290149;0.026894798;-0.024586997;0.019146405;0.039169719;0.05745455;0.049107759;0.052804584;0.061913629;0.053423481;0.050665005;5.03E-05
20/03/2008;0.01304449;0.037253446;0.032445902;0.040325534;0.042996742;0.034149325;0.036353564;0.023662286;0.015165242;0.04232826;0.059713994;0.05602112;0.061796599;0.06541985;0.056716948;0.058925175;4.50E-06
24/03/2008;0.011981391;0.038910532;0.030019986;0.034563151;0.046185348;0.036713635;0.042242562;0.015205243;0.011036666;0.038911422;0.06087034;0.053667454;0.056925474;0.067594469;0.058582205;0.06344344;8.93E-07
25/03/2008;0.011718738;0.037667062;0.027616578;0.029687058;0.045516312;0.035728705;0.044541373;0.002301248;0.007563106;0.038000162;0.059844389;0.05138226;0.052684024;0.067007576;0.05770409;0.065129977;1.73E-05
26/03/2008;0.009808321;0.034613641;0.025418521;0.02564644;0.040501324;0.030427896;0.043345604;-0.008804405;0.01948168;0.031756957;0.057527007;0.049388359;0.04909064;0.063429831;0.053426451;0.064450584;9.36E-05
27/03/2008;0.007342323;0.032790089;0.024629506;0.026923409;0.038498318;0.028649391;0.039818956;-0.011526659;0.018709973;0.023702536;0.056003983;0.048602095;0.050338342;0.061796685;0.051819806;0.061785935;0.000129223
