Date_Forecast;Forecast_T_ANN_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_T_ANN_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;SquaredError
24/12/2007;0.010842494;0.0172021;0.01649437;0.015029549;0.018550889;0.015530087;0.01562356;0.00804456;0.008632012;0.035039253;0.041467926;0.040262153;0.038328188;0.043173155;0.038792998;0.039215343;4.89E-06
26/12/2007;0.011329905;0.0163184;0.015334344;0.013093645;0.017933407;0.015007181;0.015520231;0.000808309;0.007814504;0.03657063;0.040573783;0.03902632;0.035923576;0.042694168;0.038359757;0.039207545;1.24E-05
27/12/2007;0.013048782;0.014999384;0.013910551;0.011305235;0.015326356;0.012806348;0.014933055;-0.014385263;0.007626482;0.042165207;0.038923223;0.037147633;0.033384407;0.039417807;0.03542057;0.038507404;2.94E-05
28/12/2007;0.008018523;0.01582345;0.016459973;0.015713696;0.017129496;0.014276135;0.013928124;0.001502641;0.010931733;0.025782284;0.039910915;0.040430811;0.039378774;0.041697436;0.037413599;0.037065878;8.49E-06
31/12/2007;0.010828445;0.014555456;0.014945938;0.013569359;0.014761609;0.012315554;0.01395412;-0.006875168;0.011360492;0.034953607;0.038272017;0.038472573;0.036565542;0.038613886;0.034677872;0.037153578;2.83E-07
02/01/2008;0.01064704;0.013915322;0.014608288;0.014704004;0.014468538;0.012163956;0.013297161;-0.014543083;0.012086408;0.034364775;0.037464056;0.038108722;0.038203833;0.038288155;0.034570053;0.036278984;2.07E-06
03/01/2008;0.011578279;0.01483925;0.017006774;0.019160264;0.016192138;0.013619523;0.012659001;0;0.015911066;0.03742644;0.038579122;0.041081644;0.043593257;0.040453599;0.036547871;0.035265796;1.88E-05
04/01/2008;0.015963661;0.013668882;0.015484781;0.016804744;0.01402783;0.011819775;0.012977477;-0.02485797;0.016934566;0.051746456;0.037030818;0.039151985;0.040823005;0.037574481;0.034000865;0.035773345;9.43E-07
07/01/2008;0.016744774;0.018119481;0.025071455;0.027289041;0.019234782;0.015763841;0.012600398;0.003218075;0.013921531;0.054285047;0.042773577;0.050270241;0.052281449;0.04441389;0.039568534;0.035216974;7.97E-06
08/01/2008;0.014406819;0.016765141;0.022655677;0.023223358;0.017054463;0.013989197;0.015348051;-0.018522757;0.014942911;0.046706647;0.041095863;0.047666226;0.048111107;0.04168686;0.037135218;0.038976512;2.87E-07
09/01/2008;0.013178069;0.018561476;0.027200158;0.031164881;0.020141317;0.016391218;0.015976443;0.01353211;0.017163034;0.042700972;0.043276564;0.052457027;0.056035648;0.045525543;0.040371847;0.039763391;1.59E-05
10/01/2008;0.016566627;0.018396616;0.024604918;0.02631763;0.020540777;0.016830171;0.017507782;0.007916712;0.015019185;0.053757239;0.04288926;0.049640218;0.051232566;0.045734527;0.040663966;0.041531763;2.39E-06
11/01/2008;0.015145935;0.017373217;0.022259571;0.022362533;0.019371793;0.015929935;0.018112358;-0.013688651;0.016156437;0.049103908;0.041572808;0.047044503;0.04705529;0.044234483;0.039385429;0.042233167;1.02E-06
14/01/2008;0.015775897;0.017715538;0.023538781;0.026687371;0.020461786;0.016899238;0.017553785;0.010811977;0.016392479;0.051138499;0.041855163;0.048270638;0.051373231;0.045355704;0.040483434;0.041462949;3.80E-07
15/01/2008;0.016607843;0.017225794;0.021517414;0.022757411;0.020133176;0.016888631;0.017680137;-0.025240901;0.011146857;0.053909803;0.041288417;0.046130228;0.047295633;0.044933536;0.040345593;0.041521038;2.98E-05
16/01/2008;0.011563424;0.021483954;0.030142024;0.033632467;0.025039934;0.020844308;0.017230302;-0.005627886;0.018168953;0.037467151;0.045962797;0.054524521;0.057322875;0.050056666;0.044710237;0.040818574;4.36E-05
17/01/2008;0.01688841;0.020030266;0.027866219;0.032203618;0.023214304;0.019191496;0.020289788;-0.029524177;0.019589265;0.054863535;0.044305344;0.052309284;0.056042166;0.048088951;0.042819279;0.044354193;7.29E-06
18/01/2008;0.018258996;0.025956659;0.039820102;0.047354094;0.029763752;0.024481771;0.020612623;-0.006063769;0.015544804;0.059338162;0.050373581;0.062543654;0.067839964;0.054509619;0.048368659;0.044638478;7.37E-06
22/01/2008;0.010254378;0.024241514;0.036875419;0.044769799;0.027688166;0.022583423;0.025630923;-0.011147057;0.016888948;0.033346082;0.048696001;0.060191707;0.066018296;0.052564967;0.046462257;0.049907443;4.40E-05
23/01/2008;0.013024719;0.023495809;0.035922327;0.046727398;0.027572837;0.022500177;0.025746054;0.02121553;0.014543921;0.042373483;0.047933805;0.05945661;0.067601443;0.052485619;0.04642757;0.050019911;2.31E-06
24/01/2008;0.01785326;0.024934093;0.032912868;0.039772763;0.030133852;0.024673848;0.025174007;0.010012438;0.013102722;0.058107523;0.049165915;0.056671965;0.062132716;0.054669876;0.048418973;0.049259981;2.26E-05
25/01/2008;0.014183363;0.023582778;0.029979425;0.03393851;0.028663129;0.023354264;0.026121145;-0.015999239;0.014322535;0.046117846;0.047725613;0.053969685;0.057328583;0.053195117;0.047016275;0.050153002;1.94E-08
28/01/2008;0.01591447;0.023902651;0.031382237;0.039027371;0.029778718;0.024239362;0.025152822;0.01739613;0.009156868;0.051738281;0.047850257;0.055001601;0.061294327;0.054020878;0.047687037;0.049027056;4.57E-05
29/01/2008;0.017188;0.024221052;0.028874489;0.033583515;0.030954914;0.025217677;0.025145391;0.006140881;0.011386088;0.055922446;0.048062935;0.052647378;0.056762017;0.05499902;0.04856864;0.048912731;3.37E-05
30/01/2008;0.01094339;0.022607611;0.026474562;0.02894424;0.028384956;0.022887471;0.025258827;-0.004775379;0.019641611;0.035543401;0.046473959;0.050444384;0.052800644;0.052682911;0.046335095;0.049097712;7.57E-05
31/01/2008;0.018429182;0.021175191;0.02464563;0.02785239;0.026114284;0.020920272;0.023768554;0.016633153;0.019719222;0.059914011;0.044988099;0.048644894;0.051870841;0.050504362;0.044307889;0.047652864;1.66E-06
01/02/2008;0.016098484;0.021476693;0.022636912;0.023997464;0.027053785;0.021781306;0.021930585;0.012163219;0.017664531;0.052328258;0.04513926;0.046419522;0.047924329;0.051217904;0.045010466;0.045591134;2.45E-06
04/02/2008;0.016541047;0.020904208;0.020982064;0.020805033;0.026870582;0.02161651;0.021557347;-0.01051799;0.014691875;0.053738281;0.044593393;0.044780305;0.04472352;0.051166189;0.045015329;0.045244998;3.42E-06
05/02/2008;0.015994754;0.020329218;0.020907779;0.023152548;0.026259348;0.021185964;0.020764969;-0.032518473;0.016139736;0.051955391;0.043852398;0.04453595;0.047051923;0.050398239;0.044359406;0.044307521;2.10E-08
06/02/2008;0.014375341;0.027040966;0.034825211;0.03766865;0.033560309;0.026911085;0.020011297;-0.007652849;0.007216909;0.046705371;0.050515806;0.057600754;0.059883546;0.056980152;0.049867058;0.043330268;5.12E-05
07/02/2008;0.012540892;0.02558948;0.032747118;0.037278275;0.031464371;0.025125271;0.025820521;0.007854843;0.006436454;0.040808232;0.049101537;0.055747673;0.059527981;0.055069129;0.048082252;0.049317198;3.73E-05
08/02/2008;0.006901328;0.024157695;0.030425931;0.032362429;0.029677854;0.023438472;0.026337211;-0.00421258;0.01065323;0.022461665;0.047823972;0.053878069;0.055554534;0.053639741;0.04659501;0.049948947;1.41E-05
11/02/2008;0.01157314;0.022667353;0.028657693;0.030830459;0.027455463;0.021428285;0.025242169;0.005871727;0.010171587;0.037623813;0.046480211;0.052500027;0.054492022;0.051787009;0.044760521;0.049044251;1.96E-06
12/02/2008;0.011561467;0.02121984;0.026013175;0.026627287;0.024748625;0.019448994;0.023462814;0.007239627;0.010109075;0.037575231;0.044902684;0.049796223;0.050469283;0.048968503;0.042451676;0.047251714;2.11E-06
13/02/2008;0.009914559;0.020030194;0.024261037;0.023124227;0.023285732;0.018171854;0.021546518;0.013512358;0.010272105;0.032195861;0.043648456;0.048103821;0.046977968;0.047521069;0.04104929;0.045299937;1.28E-07
14/02/2008;0.009694898;0.019789932;0.022469795;0.020121683;0.023668356;0.018552235;0.019741624;-0.013512358;0.009413316;0.0314253;0.043370646;0.046267817;0.043788566;0.047930042;0.041490444;0.043311875;7.93E-08
15/02/2008;0.00960962;0.019894332;0.023390295;0.023910222;0.024340863;0.019259229;0.018905003;0.000837397;0.008629357;0.03110137;0.043378459;0.047093308;0.047646185;0.048489951;0.042153315;0.042264039;9.61E-07
19/02/2008;0.01037147;0.018468549;0.021422824;0.020785424;0.020997122;0.016460879;0.018668665;-0.000896676;0.010439808;0.033622006;0.041850895;0.045052915;0.044440839;0.045007457;0.038965397;0.042086637;4.67E-09
20/02/2008;0.011137762;0.017137654;0.019616006;0.018764657;0.01842943;0.014452584;0.017248018;0.008306278;0.010254266;0.036105845;0.040374103;0.043099276;0.042256887;0.042144958;0.036516388;0.040511085;7.81E-07
21/02/2008;0.009953133;0.016258214;0.017852571;0.016174722;0.017360337;0.013873046;0.015631471;-0.012950865;0.010287424;0.032241258;0.039279991;0.040999562;0.039122114;0.040803208;0.035683376;0.038502347;1.12E-07
22/02/2008;0.012420708;0.016569435;0.019084556;0.019693865;0.018552743;0.014861712;0.014549227;0.007849721;0.008802891;0.040259277;0.039654753;0.042490233;0.043291393;0.042240522;0.036975347;0.037097094;1.31E-05
25/02/2008;0.009486663;0.015688495;0.017419691;0.017011421;0.017490042;0.01418559;0.014472361;0.013718146;0.015932238;0.030762746;0.038585602;0.04055081;0.040233595;0.040954955;0.036092194;0.037013389;4.15E-05
